HomeTeam	AwayTeam	FTH Goals	FTA Goals	FT Result
Arsenal	Man United	3	2	H
West Ham	Everton	2	0	H
Liverpool	Chelsea	0	0	D
Bournemouth	Nott'm Forest	1	1	D
Crystal Palace	Newcastle	0	0	D
Leicester	Brighton	2	2	D
Southampton	Aston Villa	0	1	A
Man City	Tottenham	4	2	H
Crystal Palace	Man United	1	1	D
Chelsea	Crystal Palace	1	0	H
Tottenham	Arsenal	0	2	A
Newcastle	Fulham	1	0	H
Man United	Man City	2	1	H
Wolves	West Ham	1	0	H
Brentford	Bournemouth	2	0	H
Nott'm Forest	Leicester	2	0	H
Everton	Southampton	1	2	A
Brighton	Liverpool	3	0	H
Aston Villa	Leeds	2	1	H
Fulham	Chelsea	2	1	H
Chelsea	Man City	0	1	A
Crystal Palace	Tottenham	0	4	A
